,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
1,6,02: ANCASH,157839293,170847951,200298947,213410417,420829699,
2,6,03: APURIMAC,32915587,57382596,62612082,67409017,70234087,
3,6,04: AREQUIPA,28677758,43171971,146109284,144835836,141654099,
4,6,05: AYACUCHO,30039752,69340268,88584905,88194382,89948586,
5,6,06: CAJAMARCA,62816626,32896682,122436283,139044837,160517426,
6,6,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,38408798,60747323,195535368,213747513,215346478,
7,6,08: CUSCO,154067022,182658159,208101669,212937785,219142299,
8,6,09: HUANCAVELICA,20255336,35242888,65650241,68617613,69578338,
9,6,10: HUANUCO,9669637,946499,109660950,119098523,122174040,
10,6,11: ICA,98980348,46861875,101592315,95213345,97302060,
11,6,12: JUNIN,109716474,54228861,120243510,132268527,113128997,
12,6,13: LA LIBERTAD,224548601,220686733,282490602,295837381,323306391,
13,6,14: LAMBAYEQUE,86993168,55803488,124275983,128826529,125657834,
14,6,15: LIMA,2749589698,2848885428,5322844194,5505901353,5526351858,
15,6,16: LORETO,29446478,60208880,124961275,140339098,146139522,
16,6,17: MADRE DE DIOS,5443644,5935400,16425532,18264105,18677508,
17,6,18: MOQUEGUA,3262605,1683962,34755368,37001119,35974976,
18,6,19: PASCO,16875837,25430010,34866327,35977124,41951809,
19,6,20: PIURA,68668641,94174792,187229165,202413855,210096395,
20,6,21: PUNO,113638238,50928807,136039127,145853687,146406424,
21,6,22: SAN MARTIN,28427488,30077440,69742385,77319999,95769971,
22,6,23: TACNA,68130726,11920991,46219731,46958938,46342583,
23,6,24: TUMBES,6602793,18750819,31558789,33327507,49031504,
24,6,25: UCAYALI,19649194,28597896,48550609,60678024,63437092,
25,6,98: EXTERIOR,15922880,12249599,90204424,89880283,46352913,
0,7,01: AMAZONAS,18702064,29658603,45539851,62607463,69264392,
1,7,02: ANCASH,-14309864,-35127629,166953028,178264754,196343924,
2,7,03: APURIMAC,-7800898,20477612,69266481,77616283,75630385,
3,7,04: AREQUIPA,38555145,32010512,200698727,201060431,208019226,
4,7,05: AYACUCHO,39844275,35591982,69194235,78990890,76339092,
5,7,06: CAJAMARCA,56946589,47650054,128435467,153185295,151448938,
6,7,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,26920050,65093869,215225023,233463991,230744552,
7,7,08: CUSCO,-19968228,69988535,194737614,179301208,163396274,
8,7,09: HUANCAVELICA,39564695,35366091,63694757,68898353,61031535,
9,7,10: HUANUCO,8375472,66396300,102844267,107123129,109872373,
10,7,11: ICA,10751076,29111782,100447573,106104079,120546879,
11,7,12: JUNIN,55897431,51707146,164737567,170274256,188254878,
12,7,13: LA LIBERTAD,-35929159,7891770,175630629,192371499,186195964,
13,7,14: LAMBAYEQUE,23914154,42367054,180683586,193669123,197662833,
14,7,15: LIMA,1626852251,2561296932,9844333462,6068377497,5794274398,
15,7,16: LORETO,44253860,48157960,118278489,138426785,115773352,
16,7,17: MADRE DE DIOS,17409130,21398206,20882966,24340009,24145004,
17,7,18: MOQUEGUA,-6359738,5963249,50663481,50609254,50133263,
18,7,19: PASCO,3108374,18366024,60049865,66141333,56006968,
19,7,20: PIURA,-109185395,-77310339,188601660,224803308,236682531,
20,7,21: PUNO,66194335,129276833,191119202,197130779,199933365,
21,7,22: SAN MARTIN,34441171,41478471,91626989,98216000,71507061,
22,7,23: TACNA,19326208,32033646,58909009,58650909,54396239,
23,7,24: TUMBES,-11633492,-10411754,31072306,36680357,39623118,
24,7,25: UCAYALI,17398093,23790823,44471690,55488861,57314344,
25,7,98: EXTERIOR,12745417,10876285,45808207,44571339,89624435,
0,8,01: AMAZONAS,17504377,66806407,78381545,76345621,65506939,
1,8,02: ANCASH,27556499,97396416,227344260,232067037,200802187,
2,8,03: APURIMAC,24492472,28964301,67582379,65996096,69937715,
3,8,04: AREQUIPA,310623,17867983,161321792,164656131,147577531,
4,8,05: AYACUCHO,35612048,61887715,77485795,83182312,83668149,
5,8,06: CAJAMARCA,44397134,38769714,174677780,186048115,178377589,
6,8,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,82574290,91060945,198455208,209494604,206726472,
7,8,08: CUSCO,47451302,55940546,165786752,205515686,217215316,
8,8,09: HUANCAVELICA,28147764,31899940,60287366,64089244,72382059,
9,8,10: HUANUCO,32924302,43107513,103579041,104951046,95616465,
10,8,11: ICA,15842573,70104148,95599780,110970098,96185030,
11,8,12: JUNIN,48893176,116854367,160916716,166806953,116481631,
12,8,13: LA LIBERTAD,65408759,42712166,158909443,141842951,146944284,
13,8,14: LAMBAYEQUE,46496203,72625324,143461901,124427445,100044722,
14,8,15: LIMA,1287479530,1769673852,4390257884,8286580030,8807731449,
15,8,16: LORETO,62895329,63979670,144873135,148090490,149430582,
16,8,17: MADRE DE DIOS,34884044,33953131,105326963,107511815,107384007,
17,8,18: MOQUEGUA,1609043,16179729,34658999,36900459,39305532,
18,8,19: PASCO,11826627,7223518,42090305,44957186,42326264,
19,8,20: PIURA,51148524,83693986,163262828,205703212,172449532,
20,8,21: PUNO,94605352,153380398,184152262,194434187,156864375,
21,8,22: SAN MARTIN,22961968,25325044,65353330,69261943,93706005,
22,8,23: TACNA,13400713,19810152,48561435,48448016,51425520,
23,8,24: TUMBES,7010236,19125094,31577134,38049534,36828322,
24,8,25: UCAYALI,18258801,12081423,44390379,50978036,48172737,
25,8,98: EXTERIOR,11422929,16805685,41195541,38443141,39633819,
0,9,01: AMAZONAS,61179678,77881288,79366087,91951572,100644351,
1,9,02: ANCASH,161732599,191194969,275061952,245616698,270475922,
2,9,03: APURIMAC,64518638,93926084,103277188,110091829,108553414,
3,9,04: AREQUIPA,151169530,159763087,217646107,215154555,229311098,
4,9,05: AYACUCHO,112035310,112574790,120267711,129264809,129725914,
5,9,06: CAJAMARCA,167881670,214193584,253763472,266499956,269959624,
6,9,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,64682421,136977855,261738473,264267348,266954851,
7,9,08: CUSCO,329909338,345509289,384678213,483805293,308289209,
8,9,09: HUANCAVELICA,72660208,90822735,108140862,104839439,99193026,
9,9,10: HUANUCO,109286759,150797680,181782911,195657301,194945628,
10,9,11: ICA,105484522,143678631,140936357,144165606,136251412,
11,9,12: JUNIN,151365438,185561701,234773869,230824342,268231257,
12,9,13: LA LIBERTAD,173172111,225264768,279027235,288791027,285033973,
13,9,14: LAMBAYEQUE,210380515,169384098,195566683,207938389,200451959,
14,9,15: LIMA,2079261869,3159470372,6482805687,6929095852,6422135902,
15,9,16: LORETO,118891723,133930186,177407574,199888856,207688421,
16,9,17: MADRE DE DIOS,98500661,97537365,99585773,101360942,101824581,
17,9,18: MOQUEGUA,23193669,30736175,40185232,40707834,44892170,
18,9,19: PASCO,30929685,38749979,60718579,62648282,75283440,
19,9,20: PIURA,225224234,244247764,305688724,378510666,385145836,
20,9,21: PUNO,184059887,211461759,246229895,253675420,253894404,
21,9,22: SAN MARTIN,116631812,125685267,146781012,153825088,155219863,
22,9,23: TACNA,50173649,81110708,93135826,90906758,96907104,
23,9,24: TUMBES,28858603,43286350,55378337,59659608,58357657,
24,9,25: UCAYALI,74475976,75804515,71942624,75832380,79245691,
25,9,98: EXTERIOR,13188610,19920576,51738303,66371935,66272581,
0,10,01: AMAZONAS,53279533,52984200,151852773,150632391,145743069,
1,10,02: ANCASH,31139602,28132393,173046089,194576959,176943590,
2,10,03: APURIMAC,40390638,42838769,93809574,92959248,77433410,
3,10,04: AREQUIPA,52586150,72998996,192556863,200773002,195107396,
4,10,05: AYACUCHO,42803783,59267965,155276033,159799479,148439206,
5,10,06: CAJAMARCA,94744159,149551911,212070737,224981709,176769727,
6,10,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,-14034740,34524868,225775613,265082151,236869543,
7,10,08: CUSCO,154899924,185994749,442359977,453093022,492408719,
8,10,09: HUANCAVELICA,61584621,40260520,66610372,69658722,67762509,
9,10,10: HUANUCO,66585038,65148223,136611947,151875164,143749187,
10,10,11: ICA,-5392558,30811665,112870375,120158885,131613556,
11,10,12: JUNIN,92806618,102160199,202838220,207088862,177333680,
12,10,13: LA LIBERTAD,16657420,68536277,229160003,219020913,205501376,
13,10,14: LAMBAYEQUE,62244037,112568824,197986566,184096365,187175553,
14,10,15: LIMA,2158149503,2873523228,5600464799,5696851371,5991235115,
15,10,16: LORETO,71783886,88187018,149695989,176646086,171896285,
16,10,17: MADRE DE DIOS,8708653,24401076,150319928,151691610,151356635,
17,10,18: MOQUEGUA,-12724415,-3931366,41964462,43909142,43157746,
18,10,19: PASCO,50157162,54064475,53254389,57556957,51432971,
19,10,20: PIURA,-12057717,38595861,276145959,323193309,255997166,
20,10,21: PUNO,19284445,110410403,393119862,398204295,386487092,
21,10,22: SAN MARTIN,51505367,46213096,100348795,115020514,107440373,
22,10,23: TACNA,7587362,22373253,62873710,63331121,63862421,
23,10,24: TUMBES,8816929,14352058,54374280,55500647,56172536,
24,10,25: UCAYALI,20828216,31857963,69674468,77861521,77294156,
25,10,98: EXTERIOR,18955786,23229703,73651150,60654943,60546802,
0,11,01: AMAZONAS,-15957164,38967360,75949026,82610928,86805338,
1,11,02: ANCASH,57784576,123626739,255102488,251377988,266335569,
2,11,03: APURIMAC,22126842,38501741,82890598,92033405,104373889,
3,11,04: AREQUIPA,31424517,63368421,197884760,180763308,181720555,
4,11,05: AYACUCHO,11929838,57603058,123280561,133659671,137705468,
5,11,06: CAJAMARCA,-19579536,34362094,150168727,185909116,236449841,
6,11,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,50284633,98580730,236410868,243763912,233075989,
7,11,08: CUSCO,-33898406,90645726,287354242,295925766,337141941,
