,Nombre,Entidad,Certificacion,Compromiso anual,Atencion compromiso mensual,Devengado,Girado,Avance
20,9,21: PUNO,70480989,96864047,109029152,104606065,108386923,
21,9,22: SAN MARTIN,65360992,86749829,79308998,76789336,75491641,
22,9,23: TACNA,50234259,67914747,68154571,51034828,57430363,
23,9,24: TUMBES,8741406,9120628,16843097,17353148,19054208,
24,9,25: UCAYALI,31669994,37980053,41694637,38296071,35918844,
0,10,01: AMAZONAS,19545391,30762091,42941632,42194582,40258185,
1,10,02: ANCASH,190805218,205737733,189430056,182518702,184049532,
2,10,03: APURIMAC,64270257,112566967,87588016,84927091,80652187,
3,10,04: AREQUIPA,227698286,120686260,142008704,144640587,146422719,
4,10,05: AYACUCHO,94681576,107483853,95869720,90861511,87573688,
5,10,06: CAJAMARCA,116691864,138390311,167520454,160145439,160476321,
6,10,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,44328566,73605810,52513147,54543121,53452519,
7,10,08: CUSCO,216787210,224994101,227010944,215195011,215157918,
8,10,09: HUANCAVELICA,43592537,61211423,68431498,72104336,73899055,
9,10,10: HUANUCO,59831601,53746472,72222567,66464325,66233919,
10,10,11: ICA,71297004,51732778,57305556,58994314,58832046,
11,10,12: JUNIN,67227723,62251947,76771342,86021217,89198860,
12,10,13: LA LIBERTAD,108627628,111504663,145594829,145545685,143041431,
13,10,14: LAMBAYEQUE,48101077,45269000,55187660,65770213,65123026,
14,10,15: LIMA,248336528,343167165,446590523,443759729,453966439,
15,10,16: LORETO,60820771,52442058,65438864,66381983,64408543,
16,10,17: MADRE DE DIOS,16695667,8674674,10544228,10725851,11902909,
17,10,18: MOQUEGUA,41973081,37920360,36868181,34151441,33900416,
18,10,19: PASCO,34916010,32151849,24751205,23726754,22334825,
19,10,20: PIURA,156067359,146556587,186733269,178526674,172469432,
20,10,21: PUNO,75696702,88562460,104022185,99784571,99620309,
21,10,22: SAN MARTIN,55515525,63410227,73412387,72739165,71497071,
22,10,23: TACNA,54114803,65825916,63135480,48714701,47850413,
23,10,24: TUMBES,14792359,13308268,18401374,18418912,18462339,
24,10,25: UCAYALI,33376564,33721177,37107823,39008136,35777756,
0,11,01: AMAZONAS,35086663,45742993,55050537,45351493,45168140,
1,11,02: ANCASH,198521637,185650803,232749930,183547571,174663087,
2,11,03: APURIMAC,92983302,85711847,83462841,82677453,81613428,
3,11,04: AREQUIPA,162262970,148535352,173813482,150015207,142656180,
4,11,05: AYACUCHO,155175122,92029214,94658238,88997544,89502002,
5,11,06: CAJAMARCA,137819304,150884469,176755626,163643674,160615806,
6,11,07: PROVINCIA CONSTITUCIONAL DEL CALLAO,38861761,46490597,58528611,57564597,52119046,
7,11,08: CUSCO,297497440,280278699,293246437,253399006,236709858,
8,11,09: HUANCAVELICA,78352929,68396711,71177010,59116922,58072620,
9,11,10: HUANUCO,52304340,62544942,78607406,74341679,70724442,
10,11,11: ICA,92199548,78395065,80697818,74565554,73599727,
11,11,12: JUNIN,119886657,120254615,132569389,93522974,93934375,
12,11,13: LA LIBERTAD,108091033,136877603,169955856,156081342,154625956,
13,11,14: LAMBAYEQUE,38156642,63536321,59618811,65941274,64995624,
14,11,15: LIMA,325697107,476991969,536108698,540053454,512281256,
15,11,16: LORETO,59879143,61862600,81819448,71710446,72914018,
16,11,17: MADRE DE DIOS,19931788,11646580,14261700,12180149,11528021,
17,11,18: MOQUEGUA,42792710,39710660,44989576,39311059,37759422,
18,11,19: PASCO,15702624,25476794,50527261,25922654,26779984,
19,11,20: PIURA,148437267,189574361,193513079,186378167,195562981,
20,11,21: PUNO,100922026,87305664,111703273,99532958,97255119,
21,11,22: SAN MARTIN,51007726,63272282,76605134,78585829,77120752,
22,11,23: TACNA,54857458,66918207,91355153,70085332,65482559,
23,11,24: TUMBES,12497645,17033465,16989383,16392511,16649002,
24,11,25: UCAYALI,32775384,40838560,39310318,38988796,40881761,
